val_loss_step,step
2.499910354614258,0
0.08565843105316162,1
0.08565854281187057,2
0.08565854281187057,3
2.499910354614258,4
2.499910354614258,5
2.499910354614258,6
2.499910354614258,7
0.08565843105316162,8
0.08565854281187057,9
2.499910354614258,10
2.499910354614258,11
0.08565854281187057,12
0.08565843105316162,13
2.4999101161956787,14
0.08565854281187057,15
2.499910354614258,16
2.499910354614258,17
2.499910354614258,18
2.499910354614258,19
2.499910354614258,20
2.4999101161956787,21
2.499910354614258,22
0.08565854281187057,23
0.08565854281187057,24
0.08565854281187057,25
0.08565854281187057,26
0.08565843105316162,27
2.499910354614258,28
0.08565854281187057,29
2.4999101161956787,30
2.499910354614258,31
2.499910354614258,32
2.499910354614258,33
2.499910354614258,34
2.499910354614258,35
2.499910354614258,36
2.4999101161956787,37
0.08565854281187057,38
2.499910354614258,39
2.499910354614258,40
0.08565843105316162,41
2.499910354614258,42
0.08565854281187057,43
0.08565854281187057,44
2.499910354614258,45
